交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-11-14 20:12:05,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1006270548201511141604405723,`a21719,`oC1U4t_ZrcTHoMOgSh0zXT7xKq40,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`2.00,`0.00,`0,`0,`0,`0,`,`,`油卡支付,`,`0.01000,`0.60%
`2015-11-14 20:44:58,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1006270548201511141604405723,`a21719,`oC1U4t_ZrcTHoMOgSh0zXT7xKq40,`JSAPI,`REFUND,`CCB_DEBIT,`CNY,`0,`0,`2006270548201511140077125047,`1447505097,`2.00,`0.00,`ORIGINAL,`PROCESSING,`油卡支付,`,`-0.01000,`0.60%
`2015-11-14 20:40:28,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1006270548201511141604864089,`a21720,`oC1U4t_ZrcTHoMOgSh0zXT7xKq40,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`3.00,`0.00,`0,`0,`0,`0,`,`,`油卡支付,`,`0.02000,`0.60%
`2015-11-14 21:12:01,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1006270548201511141604864089,`a21720,`oC1U4t_ZrcTHoMOgSh0zXT7xKq40,`JSAPI,`REFUND,`CCB_DEBIT,`CNY,`0,`0,`2006270548201511140077130384,`1447506721,`3.00,`0.00,`ORIGINAL,`PROCESSING,`油卡支付,`,`-0.02000,`0.60%
`2015-11-14 20:47:50,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1006270548201511141604985221,`a21721,`oC1U4t_ZrcTHoMOgSh0zXT7xKq40,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`油卡支付,`,`0.01000,`0.60%
`2015-11-14 21:11:54,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1006270548201511141604985221,`a21721,`oC1U4t_ZrcTHoMOgSh0zXT7xKq40,`JSAPI,`REFUND,`CCB_DEBIT,`CNY,`0,`0,`2006270548201511140077135657,`1447506713,`1.00,`0.00,`ORIGINAL,`PROCESSING,`油卡支付,`,`-0.01000,`0.60%
`2015-11-14 20:55:15,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1006270548201511141605080383,`a21722,`oC1U4t_ZrcTHoMOgSh0zXT7xKq40,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`2.00,`0.00,`0,`0,`0,`0,`,`,`油卡支付,`,`0.01000,`0.60%
`2015-11-14 21:11:47,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1006270548201511141605080383,`a21722,`oC1U4t_ZrcTHoMOgSh0zXT7xKq40,`JSAPI,`REFUND,`CCB_DEBIT,`CNY,`0,`0,`2006270548201511140077126153,`1447506706,`2.00,`0.00,`ORIGINAL,`PROCESSING,`油卡支付,`,`-0.01000,`0.60%
`2015-11-14 21:14:34,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1006270548201511141605353557,`a21723,`oC1U4t_ZrcTHoMOgSh0zXT7xKq40,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`2.00,`0.00,`0,`0,`0,`0,`,`,`油卡支付,`,`0.01000,`0.60%
`2015-11-14 17:12:58,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1007290548201511141601224323,`o1165,`oC1U4t07AQd7zwEQ37YIlurOMit8,`JSAPI,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.03000,`0.60%
`2015-11-14 23:01:52,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1008100548201511141606613141,`o1214,`oC1U4txNMxeKQiyRQydzxcaVafm8,`JSAPI,`SUCCESS,`PAB_CREDIT,`CNY,`100.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.60000,`0.60%
`2015-11-14 22:42:51,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1008420548201511141606431930,`o1208,`oC1U4t0htA8oQ7Y5PL58RSBUrU1g,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`91.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.55000,`0.60%
`2015-11-14 00:53:02,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1008450548201511141592791182,`o1044,`oC1U4t45F_hGFVxfg7LGOtSmUlxU,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.01000,`0.60%
`2015-11-14 12:12:07,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1008830548201511141596581699,`o1122,`oC1U4tyNsZwIHxlrgdInZONXd8IA,`JSAPI,`SUCCESS,`CCB_DEBIT,`CNY,`2000.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`12.00000,`0.60%
`2015-11-14 21:58:23,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1009650548201511141605915485,`a21730,`oC1U4txqDsH-Ncs4Ot8IjWerlxPM,`JSAPI,`SUCCESS,`CMB_DEBIT,`CNY,`193.00,`0.00,`0,`0,`0,`0,`,`,`油卡支付,`,`1.16000,`0.60%
`2015-11-14 11:46:02,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1009930548201511141596096534,`o1117,`oC1U4t-TwqXpntrP3fvnGWyhE6Fk,`JSAPI,`SUCCESS,`CFT,`CNY,`45.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.27000,`0.60%
`2015-11-14 00:01:27,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1010170548201511141592504118,`o1033,`oC1U4t3E4h75D2Q-dyTWabqz_c2s,`JSAPI,`SUCCESS,`BOC_DEBIT,`CNY,`8.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.05000,`0.60%
`2015-11-14 00:03:06,`wx1e3b3a3f6aab0ebf,`1267070601,`0,`,`1010170548201511141592530467,`o1034,`oC1U4t3E4h75D2Q-dyTWabqz_c2s,`JSAPI,`SUCCESS,`BOC_DEBIT,`CNY,`16.00,`0.00,`0,`0,`0,`0,`,`,`储油充值,`,`0.10000,`0.60%
总交易单数,总交易额,总退款金额,总企业红包退款金额,手续费总金额
`44,`4187.00,`15.00,`0.00,`25.06000
